company,position,location,tags,url,date_posted,salary_avg,scraped_on
Smart Working Solutions,Full Stack .NET Developer,,"developer, jira, front-end, back-end, technical, code, web, devops, javascript, microsoft, management, full-time, digital nomad",https://remoteOK.com/remote-jobs/remote-full-stack-net-developer-smart-working-solutions-1093245,2025-05-26T08:00:04+00:00,77500.0,2025-05-30
wander.com,Typescript Engineer,,dev,https://remoteOK.com/remote-jobs/remote-typescript-engineer-wander-com-1093244,2025-05-26T01:29:59+00:00,125000.0,2025-05-30
"ACCUFILE, INC.",Research Analyst Law Librarian,,"analyst, support, analytics, legal, non tech",https://remoteOK.com/remote-jobs/remote-research-analyst-law-librarian-accufile-inc-1093240,2025-05-26T00:03:05+00:00,95000.0,2025-05-30
Hostaway,Staff Mobile Engineer React Native Europe,,"react, design, ios, saas, security, technical, testing, test, growth, web, javascript, git, api, mobile, management, android, health, engineer, backend, digital nomad",https://remoteOK.com/remote-jobs/remote-staff-mobile-engineer-react-native-europe-hostaway-1093235,2025-05-26T00:02:03+00:00,92500.0,2025-05-30
TransPerfect,English Language Data Annotator,,"react, teach, training, legal, recruitment, full-time, non tech",https://remoteOK.com/remote-jobs/remote-english-language-data-annotator-transperfect-1093234,2025-05-26T00:01:52+00:00,82500.0,2025-05-30
TransPerfect,Audio Annotator,,"voice, speech",https://remoteOK.com/remote-jobs/remote-audio-annotator-transperfect-1093233,2025-05-26T00:01:46+00:00,0.0,2025-05-30
TransPerfect,Freelance English Annotator United States,,"voice, speech",https://remoteOK.com/remote-jobs/remote-freelance-english-annotator-united-states-transperfect-1093230,2025-05-26T00:00:34+00:00,0.0,2025-05-30
Contra,Senior Software Engineer,,"engineer, full stack, dev",https://remoteOK.com/remote-jobs/remote-senior-software-engineer-contra-1093221,2025-05-23T14:44:28+00:00,135000.0,2025-05-30
Sei Labs,Software Engineer Backend Fullstack,,"software, web3, full-stack, cloud, management, engineer, engineering, backend, fullstack",https://remoteOK.com/remote-jobs/remote-software-engineer-backend-fullstack-sei-labs-1093215,2025-05-22T12:00:03+00:00,72500.0,2025-05-30
Prime design and build,project manager,,"project manager, excel, design, other",https://remoteOK.com/remote-jobs/remote-project-manager-prime-design-and-build-1093210,2025-05-21T23:37:25+00:00,20000.0,2025-05-30
AE Virtual Class,Languages Instructors,,other,https://remoteOK.com/remote-jobs/remote-languages-instructors-ae-virtual-class-1093209,2025-05-21T21:44:44+00:00,10000.0,2025-05-30
